"Server_IP","Client_IP","Server_port","Client_port"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","53.55.176.50","10088","21"
"131.243.1.10","53.55.176.50","10122","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","2002","21"
"131.243.1.10","24.83.76.105","2002","21"
"131.243.1.10","24.83.76.105","2002","21"
"131.243.1.10","24.83.76.105","2002","21"
"131.243.1.10","24.83.76.105","2002","21"
"131.243.1.10","24.83.76.105","2003","21"
"131.243.1.10","24.83.76.105","2004","21"
"131.243.1.10","24.83.76.105","2003","21"
"131.243.1.10","24.83.76.105","2004","21"
"131.243.1.10","24.83.76.105","2004","21"
"131.243.1.10","24.83.76.105","2003","21"
"131.243.1.10","24.83.76.105","2004","21"
"131.243.1.10","24.83.76.105","2003","21"
"131.243.1.10","24.83.76.105","2004","21"
"131.243.1.10","24.83.76.105","1978","21"
"131.243.1.10","24.83.76.105","2004","21"
"131.243.1.10","24.83.76.105","2002","21"
"131.243.1.10","49.143.255.248","17772","21"
"131.243.1.10","49.143.255.248","17772","21"
"131.243.1.10","49.143.255.248","17772","21"
"131.243.1.10","49.143.255.248","17772","21"
"131.243.1.10","49.143.255.248","17772","21"
"131.243.1.10","49.143.255.248","17772","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","53.55.176.50","10227","21"
"131.243.1.10","53.55.176.50","10227","21"
"131.243.1.10","53.55.176.50","10227","21"
"131.243.1.10","53.55.176.50","10227","21"
"131.243.1.10","53.55.176.50","10224","21"
"131.243.1.10","213.30.184.86","53045","21"
"131.243.1.10","213.30.184.86","53045","21"
"131.243.1.10","213.30.184.86","53045","21"
"131.243.1.10","213.30.184.86","53045","21"
"131.243.1.10","213.30.184.86","53045","21"
"131.243.1.10","213.30.184.86","53045","21"
"131.243.1.10","24.83.76.105","2003","21"
"131.243.1.10","24.83.76.105","2076","21"
"131.243.1.10","24.83.76.105","2076","21"
"131.243.1.10","24.83.76.105","2076","21"
"131.243.1.10","24.83.76.105","2076","21"
"131.243.1.10","24.83.76.105","2076","21"
"131.243.1.10","24.83.76.105","2076","21"
"131.243.1.10","157.198.151.233","3519","21"
"131.243.1.10","114.201.61.120","1236","21"
"131.243.1.10","114.201.61.120","1236","21"
"131.243.1.10","114.201.61.120","1236","21"
"131.243.1.10","114.201.61.120","1236","21"
"131.243.1.10","157.198.151.233","3519","21"
"131.243.1.10","157.198.151.233","3519","21"
"131.243.1.10","114.201.61.120","1236","21"
"131.243.1.10","157.198.151.233","3519","21"
"131.243.1.10","114.201.61.120","1241","21"
"131.243.1.10","114.201.61.120","1241","21"
"131.243.1.10","114.201.61.120","1241","21"
"131.243.1.10","114.201.61.120","1241","21"
