"Client IP",Server IP",Data Sent","Data Recieved"
"23.186.97.163","131.243.1.10","1181","4100"
"23.19.104.187","131.243.1.10","761","3761"
"23.31.245.99","131.243.1.10","668","3599"
"23.55.109.161","131.243.1.10","919","3985"
"230.101.18.175","128.3.12.44","890","1486"
"230.101.18.175","131.243.1.10","2157","6713"
"230.254.210.117","131.243.1.10","2116","6625"
"230.35.154.215","131.243.1.10","3191","8847"
"232.172.40.208","128.3.12.44","1203","1354"
"232.172.40.208","131.243.1.10","1141","4202"
"232.8.175.74","131.243.1.10","2688","6834"
"233.54.231.144","128.3.12.44","1063","1505"
"234.129.51.135","131.243.1.10","6512","13952"
"234.244.208.153","131.243.1.10","837","3964"
"234.69.80.183","131.243.1.10","786","22043"
"236.135.226.142","131.243.2.12","82928","2568"
"236.71.170.81","128.3.12.44","4498","10035"
"236.85.160.128","131.243.1.10","1537","4603"
"237.180.56.133","131.243.1.10","1195","4255"
"237.185.73.148","131.243.1.10","925","3979"
"237.28.193.71","128.3.28.48","43037","26553"
"237.88.219.98","131.243.1.10","1046","4426"
"238.125.210.199","131.243.1.10","966","4227"
"238.227.210.142","128.3.28.48","2613","2332"
"239.248.79.130","131.243.1.10","1325","4754"
"239.253.79.147","131.243.1.10","1038","4175"
"239.87.156.4","131.243.1.10","2034","6149"
"24.190.46.234","131.243.1.10","726","3678"
"240.110.204.190","131.243.1.10","759","3691"
"241.49.40.187","131.243.1.10","2126","5797"
"242.104.25.229","128.3.28.48","81336","80275"
"242.171.60.166","128.3.12.44","1701","2601"
"243.130.145.15","131.243.2.12","1726","3601"
"243.34.153.10","128.3.12.44","923","1231"
"244.130.46.193","131.243.1.10","1661","5201"
"244.173.253.244","131.243.2.12","2202","4106"
"244.194.170.53","131.243.1.10","1899","5707"
"244.246.222.30","131.243.1.10","2273","6007"
"246.109.155.46","131.243.1.10","1177","4063"
"246.94.203.142","131.243.2.12","60738","2764"
"246.94.203.142","203.174.5.11","83918","2054"
"248.186.1.156","131.243.1.10","1174","5087"
"248.38.9.24","131.243.1.10","877","4280"
"249.123.7.161","131.243.1.10","1656","7038"
"249.131.115.59","131.243.64.10","1855","6024"
"249.162.232.161","131.243.1.10","1125","4348"
"249.237.242.135","131.243.1.10","1262","4062"
"249.4.134.221","109.103.64.27","1394","1958"
"249.4.134.221","123.47.104.102","981","1679"
"249.4.134.221","141.35.20.31","311","312"
"249.4.134.221","189.246.241.212","732","1012"
"249.4.134.221","44.76.136.98","294","503"
"249.4.134.221","48.248.244.161","679","1013"
"249.4.134.221","62.159.77.154","786","1003"
"249.44.109.25","128.3.28.48","2094","1933"
"25.156.24.127","131.243.1.10","1021","4672"
"25.68.209.200","131.243.1.10","749","3857"
"250.180.225.181","141.35.20.31","733","1174"
"250.180.225.181","189.246.241.212","894","1066"
"250.180.225.181","198.111.78.1","348","339"
"250.180.225.181","228.136.177.100","348","443"
"250.225.145.152","131.243.1.10","1833","5253"
"252.12.227.45","131.243.1.10","1723","5045"
"252.241.246.96","131.243.1.10","1204","4392"
"253.114.77.210","131.243.1.10","1131","4093"
"254.213.124.61","131.243.2.12","717","2521"
"255.111.165.141","131.243.2.12","32853","2254"
"255.165.66.19","128.3.28.48","23550","13192"
"26.197.185.76","131.243.1.10","1253","4431"
"27.78.89.76","131.243.1.10","1250","4950"
"28.131.230.19","131.243.1.10","971","3967"
"28.161.128.104","131.243.1.10","746","3807"
"29.43.0.171","131.243.2.12","885","2537"
"29.5.26.75","131.243.193.93","1456","1957"
"29.89.122.122","128.3.12.44","1834","1678"
"3.216.186.208","131.243.1.10","1732","5402"
"3.50.196.57","128.3.12.44","871","1220"
"30.52.123.142","131.243.1.10","1553","5484"
"31.100.212.254","131.243.1.10","1027","3985"
"32.183.12.123","131.243.1.10","859","3864"
"34.175.214.0","131.243.2.12","18114","2806"
"34.212.141.21","131.243.1.10","876","3955"
"34.214.121.62","131.243.1.10","876","3955"
"35.232.125.30","128.3.28.48","975","1278"
"36.248.14.59","131.243.1.10","493","3306"
"36.89.165.164","131.243.1.10","2165","6403"
"37.113.117.74","131.243.1.10","1172","4184"
"37.86.140.26","131.243.1.10","4322","10460"
"38.43.22.104","131.243.1.10","1259","4543"
